Index,Date,Time,DateTime,Readings_RH,Readings_F,Type
1,9/24/18,3:11:03 PM,09/24/1815:11:03,39.9,75.3,
2,9/24/18,3:21:03 PM,09/24/1815:21:03,40.4,73.4,
3,9/24/18,3:31:03 PM,09/24/1815:31:03,40.9,72.9,
4,9/24/18,3:41:03 PM,09/24/1815:41:03,41.1,72.8,
5,9/24/18,3:51:03 PM,09/24/1815:51:03,41.2,72.7,
6,9/24/18,4:01:03 PM,09/24/1816:01:03,41.2,72.6,
7,9/24/18,4:11:03 PM,09/24/1816:11:03,41.1,72.6,
8,9/24/18,4:21:03 PM,09/24/1816:21:03,41.1,72.6,
9,9/24/18,4:31:03 PM,09/24/1816:31:03,41.1,72.6,
10,9/24/18,4:41:03 PM,09/24/1816:41:03,41.3,72.5,
11,9/24/18,4:51:03 PM,09/24/1816:51:03,41.5,72.5,
12,9/24/18,5:01:03 PM,09/24/1817:01:03,41.8,72.5,
13,9/24/18,5:11:03 PM,09/24/1817:11:03,42,72.5,
14,9/24/18,5:21:03 PM,09/24/1817:21:03,42.4,72.4,
15,9/24/18,5:31:03 PM,09/24/1817:31:03,42.7,72.4,
16,9/24/18,5:41:03 PM,09/24/1817:41:03,43,72.4,
17,9/24/18,5:51:03 PM,09/24/1817:51:03,43.2,72.3,
18,9/24/18,6:01:03 PM,09/24/1818:01:03,43.2,72.3,
19,9/24/18,6:11:03 PM,09/24/1818:11:03,43.4,72.3,
20,9/24/18,6:21:03 PM,09/24/1818:21:03,43.5,72.2,
21,9/24/18,6:31:03 PM,09/24/1818:31:03,43.7,72.2,
22,9/24/18,6:41:03 PM,09/24/1818:41:03,44.5,72.4,
23,9/24/18,6:51:03 PM,09/24/1818:51:03,44.9,72.4,
24,9/24/18,7:01:03 PM,09/24/1819:01:03,44.7,72.4,
25,9/24/18,7:11:03 PM,09/24/1819:11:03,44.6,72.4,
26,9/24/18,7:21:03 PM,09/24/1819:21:03,44.7,72.4,
27,9/24/18,7:31:03 PM,09/24/1819:31:03,44.8,72.3,
28,9/24/18,7:41:03 PM,09/24/1819:41:03,44.9,72.3,
29,9/24/18,7:51:03 PM,09/24/1819:51:03,45,72.3,
30,9/24/18,8:01:03 PM,09/24/1820:01:03,45.2,72.2,
31,9/24/18,8:11:03 PM,09/24/1820:11:03,45.4,72.2,
32,9/24/18,8:21:03 PM,09/24/1820:21:03,45.6,72.2,
33,9/24/18,8:31:03 PM,09/24/1820:31:03,45.9,72.2,
34,9/24/18,8:41:03 PM,09/24/1820:41:03,46,72.2,
35,9/24/18,8:51:03 PM,09/24/1820:51:03,46.2,72.2,
36,9/24/18,9:01:03 PM,09/24/1821:01:03,46.3,72.2,
37,9/24/18,9:11:03 PM,09/24/1821:11:03,46.5,72.2,
38,9/24/18,9:21:03 PM,09/24/1821:21:03,46.6,72.1,
39,9/24/18,9:31:03 PM,09/24/1821:31:03,46.9,72.2,
40,9/24/18,9:41:03 PM,09/24/1821:41:03,47,72.2,
41,9/24/18,9:51:03 PM,09/24/1821:51:03,47.2,72.1,
42,9/24/18,10:01:03 PM,09/24/1822:01:03,47.3,72.1,
43,9/24/18,10:11:03 PM,09/24/1822:11:03,47.4,72.1,
44,9/24/18,10:21:03 PM,09/24/1822:21:03,47.4,72.1,
45,9/24/18,10:31:03 PM,09/24/1822:31:03,47.6,72.1,
46,9/24/18,10:41:03 PM,09/24/1822:41:03,47.8,72.1,
47,9/24/18,10:51:03 PM,09/24/1822:51:03,47.9,72,
48,9/24/18,11:01:03 PM,09/24/1823:01:03,48,72,
49,9/24/18,11:11:03 PM,09/24/1823:11:03,48.1,72,
50,9/24/18,11:21:03 PM,09/24/1823:21:03,48.2,72,
51,9/24/18,11:31:03 PM,09/24/1823:31:03,48.4,72,
52,9/24/18,11:41:03 PM,09/24/1823:41:03,48.5,72,
53,9/24/18,11:51:03 PM,09/24/1823:51:03,48.7,72,
54,9/25/18,12:01:03 AM,09/25/1800:01:03,48.9,72,
55,9/25/18,12:11:03 AM,09/25/1800:11:03,48.9,72,
56,9/25/18,12:21:03 AM,09/25/1800:21:03,49,71.9,
57,9/25/18,12:31:03 AM,09/25/1800:31:03,49.1,71.8,
58,9/25/18,12:41:03 AM,09/25/1800:41:03,49.1,71.7,
59,9/25/18,12:51:03 AM,09/25/1800:51:03,49.2,71.7,
60,9/25/18,1:01:03 AM,09/25/1801:01:03,49,71.6,
61,9/25/18,1:11:03 AM,09/25/1801:11:03,49.2,71.5,
62,9/25/18,1:21:03 AM,09/25/1801:21:03,49.1,71.5,
63,9/25/18,1:31:03 AM,09/25/1801:31:03,49.3,71.4,
64,9/25/18,1:41:03 AM,09/25/1801:41:03,49.3,71.4,
65,9/25/18,1:51:03 AM,09/25/1801:51:03,49.6,71.3,
66,9/25/18,2:01:03 AM,09/25/1802:01:03,49.7,71.3,
67,9/25/18,2:11:03 AM,09/25/1802:11:03,50,71.2,
68,9/25/18,2:21:03 AM,09/25/1802:21:03,50.2,71.1,
69,9/25/18,2:31:03 AM,09/25/1802:31:03,50.4,71.1,
70,9/25/18,2:41:03 AM,09/25/1802:41:03,50.5,71,
71,9/25/18,2:51:03 AM,09/25/1802:51:03,50.8,70.9,
72,9/25/18,3:01:03 AM,09/25/1803:01:03,50.9,70.9,
73,9/25/18,3:11:03 AM,09/25/1803:11:03,51,70.9,
74,9/25/18,3:21:03 AM,09/25/1803:21:03,51,70.9,
75,9/25/18,3:31:03 AM,09/25/1803:31:03,51,70.9,
76,9/25/18,3:41:03 AM,09/25/1803:41:03,51.1,70.8,
77,9/25/18,3:51:03 AM,09/25/1803:51:03,51,70.8,
78,9/25/18,4:01:03 AM,09/25/1804:01:03,51,70.8,
79,9/25/18,4:11:03 AM,09/25/1804:11:03,51.2,70.7,
80,9/25/18,4:21:03 AM,09/25/1804:21:03,51.1,70.7,
81,9/25/18,4:31:03 AM,09/25/1804:31:03,51.2,70.6,
82,9/25/18,4:41:03 AM,09/25/1804:41:03,51.5,70.6,
83,9/25/18,4:51:03 AM,09/25/1804:51:03,51.5,70.5,
84,9/25/18,5:01:03 AM,09/25/1805:01:03,51.6,70.5,
85,9/25/18,5:11:03 AM,09/25/1805:11:03,51.6,70.5,
86,9/25/18,5:21:03 AM,09/25/1805:21:03,51.6,70.4,
87,9/25/18,5:31:03 AM,09/25/1805:31:03,51.6,70.4,
88,9/25/18,5:41:03 AM,09/25/1805:41:03,51.7,70.3,
89,9/25/18,5:51:03 AM,09/25/1805:51:03,51.6,70.3,
90,9/25/18,6:01:03 AM,09/25/1806:01:03,51.7,70.3,
91,9/25/18,6:11:03 AM,09/25/1806:11:03,51.7,70.3,
92,9/25/18,6:21:03 AM,09/25/1806:21:03,51.8,70.3,
93,9/25/18,6:31:03 AM,09/25/1806:31:03,51.8,70.3,
94,9/25/18,6:41:03 AM,09/25/1806:41:03,51.8,70.2,
95,9/25/18,6:51:03 AM,09/25/1806:51:03,51.7,70.2,
96,9/25/18,7:01:03 AM,09/25/1807:01:03,51.8,70.2,
97,9/25/18,7:11:03 AM,09/25/1807:11:03,51.8,70.2,
98,9/25/18,7:21:03 AM,09/25/1807:21:03,51.8,70.1,
99,9/25/18,7:31:03 AM,09/25/1807:31:03,51.9,70.1,
